,Order,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB,Batting Team,Bowling Team,Match ID,Match No,Season,Season Match No
354,2,MA Starc,4.0,0,40,2,10.0,,,,0,0,Perth Scorchers,Sydney Sixers,524945,31,BBL01,31
355,3,MC Henriques,2.0,0,27,0,13.5,,,,0,0,Perth Scorchers,Sydney Sixers,524945,31,BBL01,31
356,4,SNJ O'Keefe,4.0,0,22,0,5.5,,,,0,0,Perth Scorchers,Sydney Sixers,524945,31,BBL01,31
357,5,SCG MacGill,4.0,0,20,1,5.0,,,,0,0,Perth Scorchers,Sydney Sixers,524945,31,BBL01,31
358,6,IA Moran,2.0,0,22,0,11.0,,,,0,0,Perth Scorchers,Sydney Sixers,524945,31,BBL01,31
359,1,MA Beer,3.0,0,29,0,9.66,,,,0,0,Sydney Sixers,Perth Scorchers,524945,31,BBL01,31
360,2,NJ Rimmington,3.0,0,36,0,12.0,,,,1,0,Sydney Sixers,Perth Scorchers,524945,31,BBL01,31
361,3,NM Coulter-Nile,4.0,0,23,0,5.75,,,,2,0,Sydney Sixers,Perth Scorchers,524945,31,BBL01,31
362,4,BM Edmondson,3.5,0,30,2,7.82,,,,1,0,Sydney Sixers,Perth Scorchers,524945,31,BBL01,31
363,5,GB Hogg,4.0,0,29,1,7.25,,,,2,0,Sydney Sixers,Perth Scorchers,524945,31,BBL01,31
364,6,MR Marsh,1.0,0,11,0,11.0,,,,0,0,Sydney Sixers,Perth Scorchers,524945,31,BBL01,31
365,1,DJ Pattinson,4.0,0,33,1,8.25,,,,2,0,Melbourne Stars,Melbourne Renegades,571232,32,BBL02,1
366,2,NJ Rimmington,4.0,0,37,0,9.25,,,,1,0,Melbourne Stars,Melbourne Renegades,571232,32,BBL02,1
367,3,AW O'Brien,4.0,0,27,2,6.75,,,,0,0,Melbourne Stars,Melbourne Renegades,571232,32,BBL02,1
368,4,AJ Finch,2.0,0,14,1,7.0,,,,0,0,Melbourne Stars,Melbourne Renegades,571232,32,BBL02,1
369,5,WD Sheridan,1.0,0,17,0,17.0,,,,0,0,Melbourne Stars,Melbourne Renegades,571232,32,BBL02,1
370,6,M Muralitharan,4.0,0,28,0,7.0,,,,1,0,Melbourne Stars,Melbourne Renegades,571232,32,BBL02,1
