Order,Batsman,Dismissal,R,B,M,4s,6s,SR,Batting Team,Bowling Team,Match ID,Season,Season Match No,Match No
4,CJ Ferguson,c Sandri b Woakes,22,24,,2,0,91.66,Adelaide Strikers,Sydney Thunder,654041,BBL03,6,72
5,NJ Reardon,not out,32,21,,2,1,152.38,Adelaide Strikers,Sydney Thunder,654041,BBL03,6,72
6,J Botha (c),c †Carters b Nannes,5,3,,1,0,166.66,Adelaide Strikers,Sydney Thunder,654041,BBL03,6,72
7,MG Neser,c Hughes b Nannes,2,3,,0,0,66.66,Adelaide Strikers,Sydney Thunder,654041,BBL03,6,72
8,TP Ludeman †,not out,11,7,,1,0,157.14,Adelaide Strikers,Sydney Thunder,654041,BBL03,6,72
1,DP Hughes,lbw b Botha,0,2,,0,0,0,Sydney Thunder,Adelaide Strikers,654041,BBL03,6,72
2,RGL Carters †,c †Ludeman b Neser,6,9,,0,0,66.66,Sydney Thunder,Adelaide Strikers,654041,BBL03,6,72
3,CS Sandri,c Reardon b Neser,13,12,,1,0,108.33,Sydney Thunder,Adelaide Strikers,654041,BBL03,6,72
4,MEK Hussey (c),c Botha b Tait,85,56,,5,4,151.78,Sydney Thunder,Adelaide Strikers,654041,BBL03,6,72
5,EJG Morgan,c Ferguson b Neser,35,32,,2,1,109.37,Sydney Thunder,Adelaide Strikers,654041,BBL03,6,72
6,KR Patterson,run out (Ferguson),2,6,,0,0,33.33,Sydney Thunder,Adelaide Strikers,654041,BBL03,6,72
7,JS Floros,not out,0,2,,0,0,0,Sydney Thunder,Adelaide Strikers,654041,BBL03,6,72
8,CR Woakes,not out,0,1,,0,0,0,Sydney Thunder,Adelaide Strikers,654041,BBL03,6,72
1,LA Pomersbach, b Bollinger,4,5,,1,0,80,Brisbane Heat,Hobart Hurricanes,654043,BBL03,7,73
2,C Kieswetter †,c Laughlin b Shoaib Malik,50,24,,6,3,208.33,Brisbane Heat,Hobart Hurricanes,654043,BBL03,7,73
3,JA Burns,st †Paine b Doherty,69,45,,6,2,153.33,Brisbane Heat,Hobart Hurricanes,654043,BBL03,7,73
4,DT Christian,not out,70,40,,3,4,175,Brisbane Heat,Hobart Hurricanes,654043,BBL03,7,73
5,CA Lynn,not out,11,7,,1,0,157.14,Brisbane Heat,Hobart Hurricanes,654043,BBL03,7,73
1,Shoaib Malik,c McDermott b Christian,19,13,,2,1,146.15,Hobart Hurricanes,Brisbane Heat,654043,BBL03,7,73
2,BR Dunk, b Vettori,67,33,,5,4,203.03,Hobart Hurricanes,Brisbane Heat,654043,BBL03,7,73
3,TR Birt,c †Kieswetter b Cutting,27,20,,3,1,135,Hobart Hurricanes,Brisbane Heat,654043,BBL03,7,73
4,OA Shah,c Lynn b Vettori,6,10,,0,0,60,Hobart Hurricanes,Brisbane Heat,654043,BBL03,7,73
5,JW Wells,not out,36,20,,5,0,180,Hobart Hurricanes,Brisbane Heat,654043,BBL03,7,73
6,EP Gulbis,c McDermott b Gannon,22,13,,1,1,169.23,Hobart Hurricanes,Brisbane Heat,654043,BBL03,7,73
7,TD Paine (c) †,c Christian b McDermott,5,3,,1,0,166.66,Hobart Hurricanes,Brisbane Heat,654043,BBL03,7,73
8,B Laughlin,c Hauritz b Gannon,4,4,,0,0,100,Hobart Hurricanes,Brisbane Heat,654043,BBL03,7,73
9,BW Hilfenhaus,not out,10,2,,1,1,500,Hobart Hurricanes,Brisbane Heat,654043,BBL03,7,73
1,CL White (c), b Hazlewood,9,12,24,1,0,75,Melbourne Stars,Sydney Sixers,654045,BBL03,8,74
2,LJ Wright,st †Smith b O'Keefe,28,17,17,5,1,164.7,Melbourne Stars,Sydney Sixers,654045,BBL03,8,74
3,MS Wade †, b Bopara,36,25,45,2,2,144,Melbourne Stars,Sydney Sixers,654045,BBL03,8,74
4,BJ Hodge,c †Smith b Hazlewood,0,2,2,0,0,0,Melbourne Stars,Sydney Sixers,654045,BBL03,8,74
5,DJ Hussey,not out,50,41,62,5,0,121.95,Melbourne Stars,Sydney Sixers,654045,BBL03,8,74
6,GJ Maxwell,c Lalor b Hazlewood,37,18,20,3,2,205.55,Melbourne Stars,Sydney Sixers,654045,BBL03,8,74
7,JP Faulkner,not out,9,6,11,0,1,150,Melbourne Stars,Sydney Sixers,654045,BBL03,8,74
1,MJ Lumb, b Bird,29,19,23,4,1,152.63,Sydney Sixers,Melbourne Stars,654045,BBL03,8,74
2,NJ Maddinson,c †Wade b Hastings,18,19,28,3,0,94.73,Sydney Sixers,Melbourne Stars,654045,BBL03,8,74
3,MJ North,run out (†Wade/Maxwell),23,19,27,2,0,121.05,Sydney Sixers,Melbourne Stars,654045,BBL03,8,74
4,RS Bopara,c Faulkner b McKay,5,10,17,0,0,50,Sydney Sixers,Melbourne Stars,654045,BBL03,8,74
5,MC Henriques (c),c Hastings b Maxwell,17,15,16,1,0,113.33,Sydney Sixers,Melbourne Stars,654045,BBL03,8,74
6,JC Silk, b Maxwell,2,4,5,0,0,50,Sydney Sixers,Melbourne Stars,654045,BBL03,8,74
7,DLR Smith †,c Hodge b Maxwell,6,8,12,0,0,75,Sydney Sixers,Melbourne Stars,654045,BBL03,8,74
8,SNJ O'Keefe,c †Wade b Faulkner,9,11,10,0,0,81.81,Sydney Sixers,Melbourne Stars,654045,BBL03,8,74
9,B Lee,c Maxwell b Hussey,0,4,8,0,0,0,Sydney Sixers,Melbourne Stars,654045,BBL03,8,74
10,JK Lalor,not out,5,8,8,0,0,62.5,Sydney Sixers,Melbourne Stars,654045,BBL03,8,74
11,JR Hazlewood,not out,2,5,3,0,0,40,Sydney Sixers,Melbourne Stars,654045,BBL03,8,74
1,AJ Doolan,c Cutting b Christian,13,13,17,1,0,100,Melbourne Renegades,Brisbane Heat,654047,BBL03,9,75
2,AJ Finch (c),c McDermott b Christian,81,51,66,7,3,158.82,Melbourne Renegades,Brisbane Heat,654047,BBL03,9,75
3,JC Buttler,c Forrest b Vettori,61,36,40,3,4,169.44,Melbourne Renegades,Brisbane Heat,654047,BBL03,9,75
4,TLW Cooper,not out,15,11,22,1,0,136.36,Melbourne Renegades,Brisbane Heat,654047,BBL03,9,75
5,BJ Rohrer,not out,36,11,14,1,4,327.27,Melbourne Renegades,Brisbane Heat,654047,BBL03,9,75
1,LA Pomersbach, b O'Brien,21,30,35,3,0,70,Brisbane Heat,Melbourne Renegades,654047,BBL03,9,75
2,C Kieswetter †,c Cooper b Pattinson,10,6,15,0,1,166.66,Brisbane Heat,Melbourne Renegades,654047,BBL03,9,75
3,JA Burns,c Buttler b Rimmington,36,27,31,2,1,133.33,Brisbane Heat,Melbourne Renegades,654047,BBL03,9,75
4,DT Christian, b Rimmington,10,11,13,0,0,90.9,Brisbane Heat,Melbourne Renegades,654047,BBL03,9,75
5,CA Lynn, b Muralitharan,2,4,7,0,0,50,Brisbane Heat,Melbourne Renegades,654047,BBL03,9,75
6,BCJ Cutting,c Cooper b Pattinson,40,19,19,0,5,210.52,Brisbane Heat,Melbourne Renegades,654047,BBL03,9,75
7,PJ Forrest,c Rimmington b O'Brien,1,3,4,0,0,33.33,Brisbane Heat,Melbourne Renegades,654047,BBL03,9,75
8,DL Vettori (c),run out (Buttler/†Nevill),15,11,21,0,1,136.36,Brisbane Heat,Melbourne Renegades,654047,BBL03,9,75
9,NM Hauritz,run out (†Nevill),3,3,5,0,0,100,Brisbane Heat,Melbourne Renegades,654047,BBL03,9,75
10,CJ Gannon, b Pattinson,0,2,3,0,0,0,Brisbane Heat,Melbourne Renegades,654047,BBL03,9,75
11,AC McDermott,not out,0,0,2,0,0,-,Brisbane Heat,Melbourne Renegades,654047,BBL03,9,75
1,SE Marsh,run out (Botha),2,6,,0,0,33.33,Perth Scorchers,Adelaide Strikers,654049,BBL03,10,76
2,SM Katich (c),c Oakley b Neser,36,30,,4,1,120,Perth Scorchers,Adelaide Strikers,654049,BBL03,10,76
3,SM Whiteman †,c Oakley b Zampa,19,15,,3,0,126.66,Perth Scorchers,Adelaide Strikers,654049,BBL03,10,76
4,MR Marsh,c Botha b Zampa,13,11,,2,0,118.18,Perth Scorchers,Adelaide Strikers,654049,BBL03,10,76
5,AJ Turner,c Hughes b Neser,25,16,,0,2,156.25,Perth Scorchers,Adelaide Strikers,654049,BBL03,10,76
6,TJ Armstrong,lbw b Tait,3,5,,0,0,60,Perth Scorchers,Adelaide Strikers,654049,BBL03,10,76
7,NM Coulter-Nile,not out,42,25,,3,3,168,Perth Scorchers,Adelaide Strikers,654049,BBL03,10,76
8,Yasir Arafat,c †Ludeman b Neser,0,2,,0,0,0,Perth Scorchers,Adelaide Strikers,654049,BBL03,10,76
9,AC Thomas,run out (Botha/Oakley),2,7,,0,0,28.57,Perth Scorchers,Adelaide Strikers,654049,BBL03,10,76
10,GB Hogg,c †Ludeman b Tait,0,1,,0,0,0,Perth Scorchers,Adelaide Strikers,654049,BBL03,10,76
11,MA Beer,not out,1,3,,0,0,33.33,Perth Scorchers,Adelaide Strikers,654049,BBL03,10,76
1,M Klinger,not out,86,55,,5,4,156.36,Adelaide Strikers,Perth Scorchers,654049,BBL03,10,76
2,AD Hales,c Katich b Yasir Arafat,31,20,,5,1,155,Adelaide Strikers,Perth Scorchers,654049,BBL03,10,76
3,PJ Hughes,c Armstrong b Coulter-Nile,8,7,,1,0,114.28,Adelaide Strikers,Perth Scorchers,654049,BBL03,10,76
4,J Botha (c), b Beer,6,11,,0,0,54.54,Adelaide Strikers,Perth Scorchers,654049,BBL03,10,76
5,CJ Ferguson,c Thomas b Coulter-Nile,10,10,,1,0,100,Adelaide Strikers,Perth Scorchers,654049,BBL03,10,76
6,NJ Reardon,not out,16,11,,0,1,145.45,Adelaide Strikers,Perth Scorchers,654049,BBL03,10,76
1,MW Hill,run out (Dunk),40,29,,5,1,137.93,Melbourne Renegades,Hobart Hurricanes,654051,BBL03,11,77
2,AJ Finch (c),c †Paine b Laughlin,50,31,,6,2,161.29,Melbourne Renegades,Hobart Hurricanes,654051,BBL03,11,77
3,JC Buttler,c Hilfenhaus b Doherty,20,17,,2,1,117.64,Melbourne Renegades,Hobart Hurricanes,654051,BBL03,11,77
4,BJ Rohrer, b Shoaib Malik,12,11,,1,0,109.09,Melbourne Renegades,Hobart Hurricanes,654051,BBL03,11,77
5,TLW Cooper,c †Paine b Bollinger,17,18,,0,1,94.44,Melbourne Renegades,Hobart Hurricanes,654051,BBL03,11,77
6,PM Nevill †,c †Paine b Bollinger,9,8,,1,0,112.5,Melbourne Renegades,Hobart Hurricanes,654051,BBL03,11,77
7,MG Gale,not out,4,4,,0,0,100,Melbourne Renegades,Hobart Hurricanes,654051,BBL03,11,77
8,JL Pattinson, b Laughlin,0,1,,0,0,0,Melbourne Renegades,Hobart Hurricanes,654051,BBL03,11,77
9,NJ Rimmington,c Birt b Laughlin,0,3,,0,0,0,Melbourne Renegades,Hobart Hurricanes,654051,BBL03,11,77
10,AW O'Brien,not out,0,0,,0,0,-,Melbourne Renegades,Hobart Hurricanes,654051,BBL03,11,77
1,BR Dunk,c Rimmington b Gale,1,6,,0,0,16.66,Hobart Hurricanes,Melbourne Renegades,654051,BBL03,11,77
2,Shoaib Malik,c †Nevill b Pattinson,1,5,,0,0,20,Hobart Hurricanes,Melbourne Renegades,654051,BBL03,11,77
3,TR Birt,c O'Brien b Muralitharan,21,14,,3,1,150,Hobart Hurricanes,Melbourne Renegades,654051,BBL03,11,77
4,OA Shah,c Finch b Pattinson,0,1,,0,0,0,Hobart Hurricanes,Melbourne Renegades,654051,BBL03,11,77
5,JW Wells,c Hill b Rimmington,17,13,,3,0,130.76,Hobart Hurricanes,Melbourne Renegades,654051,BBL03,11,77
6,TD Paine (c) †,c Buttler b Muralitharan,31,28,,2,0,110.71,Hobart Hurricanes,Melbourne Renegades,654051,BBL03,11,77
7,EP Gulbis,c O'Brien b Rimmington,16,14,,1,0,114.28,Hobart Hurricanes,Melbourne Renegades,654051,BBL03,11,77
8,B Laughlin,c Cooper b Pattinson,9,14,,0,0,64.28,Hobart Hurricanes,Melbourne Renegades,654051,BBL03,11,77
9,BW Hilfenhaus,c Cooper b Pattinson,2,4,,0,0,50,Hobart Hurricanes,Melbourne Renegades,654051,BBL03,11,77
10,XJ Doherty,not out,8,4,,1,0,200,Hobart Hurricanes,Melbourne Renegades,654051,BBL03,11,77
11,DE Bollinger,run out (Rimmington),0,0,,0,0,-,Hobart Hurricanes,Melbourne Renegades,654051,BBL03,11,77
1,DP Hughes,c White b Hastings,16,16,20,2,0,100,Sydney Thunder,Melbourne Stars,654053,BBL03,12,78
2,TM Dilshan,c †Wade b Hastings,0,4,6,0,0,0,Sydney Thunder,Melbourne Stars,654053,BBL03,12,78
3,MEK Hussey (c),run out (†Wade/Maxwell),66,48,66,6,1,137.5,Sydney Thunder,Melbourne Stars,654053,BBL03,12,78
4,EJG Morgan,c Maxwell b Bird,31,23,29,1,2,134.78,Sydney Thunder,Melbourne Stars,654053,BBL03,12,78
5,KR Patterson,c Maxwell b Hastings,18,11,15,0,2,163.63,Sydney Thunder,Melbourne Stars,654053,BBL03,12,78
6,JS Floros,c Hastings b McKay,18,14,15,2,1,128.57,Sydney Thunder,Melbourne Stars,654053,BBL03,12,78
7,RGL Carters †,not out,3,3,10,0,0,100,Sydney Thunder,Melbourne Stars,654053,BBL03,12,78
8,SJ Coyte,not out,0,1,1,0,0,0,Sydney Thunder,Melbourne Stars,654053,BBL03,12,78
1,LJ Wright,c Morgan b Nannes,9,10,8,2,0,90,Melbourne Stars,Sydney Thunder,654053,BBL03,12,78
2,CL White (c),c Patterson b Feldman,21,16,31,3,0,131.25,Melbourne Stars,Sydney Thunder,654053,BBL03,12,78
3,MS Wade †,c Morgan b Sandhu,44,40,44,4,1,110,Melbourne Stars,Sydney Thunder,654053,BBL03,12,78
4,BJ Hodge,not out,64,36,49,4,5,177.77,Melbourne Stars,Sydney Thunder,654053,BBL03,12,78
5,DJ Hussey,not out,16,13,27,1,0,123.07,Melbourne Stars,Sydney Thunder,654053,BBL03,12,78
1,NJ Maddinson,c Lynn b Steketee,9,6,5,0,1,150,Sydney Sixers,Brisbane Heat,654055,BBL03,13,79
2,MJ Lumb,c Hopes b Cutting,56,42,52,6,1,133.33,Sydney Sixers,Brisbane Heat,654055,BBL03,13,79
3,MC Henriques (c),c Cutting b Gannon,19,15,20,3,0,126.66,Sydney Sixers,Brisbane Heat,654055,BBL03,13,79
4,MJ North,c Hopes b Vettori,13,16,28,1,0,81.25,Sydney Sixers,Brisbane Heat,654055,BBL03,13,79
5,RS Bopara,c †Kieswetter b Cutting,13,11,10,0,1,118.18,Sydney Sixers,Brisbane Heat,654055,BBL03,13,79
6,JC Silk, b Gannon,6,8,14,0,0,75,Sydney Sixers,Brisbane Heat,654055,BBL03,13,79
7,DLR Smith †,c Lynn b Gannon,5,8,14,0,0,62.5,Sydney Sixers,Brisbane Heat,654055,BBL03,13,79
8,SNJ O'Keefe,not out,7,8,11,0,0,87.5,Sydney Sixers,Brisbane Heat,654055,BBL03,13,79
9,B Lee,c Lynn b Gannon,0,2,1,0,0,0,Sydney Sixers,Brisbane Heat,654055,BBL03,13,79
10,JK Lalor,not out,4,4,4,0,0,100,Sydney Sixers,Brisbane Heat,654055,BBL03,13,79
1,LA Pomersbach,run out (Lumb/†Smith),15,15,21,2,0,100,Brisbane Heat,Sydney Sixers,654055,BBL03,13,79
2,C Kieswetter †,c Silk b Lee,38,40,62,4,1,95,Brisbane Heat,Sydney Sixers,654055,BBL03,13,79
3,JA Burns,c O'Keefe b Lalor,1,7,6,0,0,14.28,Brisbane Heat,Sydney Sixers,654055,BBL03,13,79
4,DT Christian,c †Smith b Henriques,1,3,3,0,0,33.33,Brisbane Heat,Sydney Sixers,654055,BBL03,13,79
5,CA Lynn, b Lee,34,21,26,2,2,161.9,Brisbane Heat,Sydney Sixers,654055,BBL03,13,79
6,CJM Sabburg,not out,19,19,29,0,0,100,Brisbane Heat,Sydney Sixers,654055,BBL03,13,79
7,JR Hopes (c),run out (†Smith),9,13,20,0,0,69.23,Brisbane Heat,Sydney Sixers,654055,BBL03,13,79
8,BCJ Cutting,c Henriques b Hazlewood,7,3,5,0,1,233.33,Brisbane Heat,Sydney Sixers,654055,BBL03,13,79
1,DP Hughes,c Thomas b Yasir Arafat,24,19,,5,0,126.31,Sydney Thunder,Perth Scorchers,654057,BBL03,14,80
2,TM Dilshan,lbw b Behrendorff,14,7,,3,0,200,Sydney Thunder,Perth Scorchers,654057,BBL03,14,80
3,MEK Hussey (c),c Simmons b MR Marsh,13,20,,0,0,65,Sydney Thunder,Perth Scorchers,654057,BBL03,14,80
4,EJG Morgan,run out (Marsh),48,30,,6,2,160,Sydney Thunder,Perth Scorchers,654057,BBL03,14,80
5,KR Patterson, b Hogg,2,4,,0,0,50,Sydney Thunder,Perth Scorchers,654057,BBL03,14,80
6,JS Floros,not out,37,24,,3,2,154.16,Sydney Thunder,Perth Scorchers,654057,BBL03,14,80
7,RGL Carters †, b Hogg,1,4,,0,0,25,Sydney Thunder,Perth Scorchers,654057,BBL03,14,80
8,GS Sandhu,not out,7,13,,0,0,53.84,Sydney Thunder,Perth Scorchers,654057,BBL03,14,80
1,CJ Simmons,c Tremain b Nannes,9,15,,1,0,60,Perth Scorchers,Sydney Thunder,654057,BBL03,14,80
2,SE Marsh,c Dilshan b Tremain,20,15,,3,0,133.33,Perth Scorchers,Sydney Thunder,654057,BBL03,14,80
3,SM Katich (c),c Tremain b Sandhu,75,42,,7,2,178.57,Perth Scorchers,Sydney Thunder,654057,BBL03,14,80
4,AC Voges,c Morgan b Feldman,8,13,,0,0,61.53,Perth Scorchers,Sydney Thunder,654057,BBL03,14,80
5,MR Marsh,not out,34,29,,2,1,117.24,Perth Scorchers,Sydney Thunder,654057,BBL03,14,80
6,AJ Turner,not out,3,4,,0,0,75,Perth Scorchers,Sydney Thunder,654057,BBL03,14,80
1,MW Hill,c †Wade b Bird,8,8,7,1,0,100,Melbourne Renegades,Melbourne Stars,654059,BBL03,15,81
2,AJ Finch (c),not out,84,55,87,3,6,152.72,Melbourne Renegades,Melbourne Stars,654059,BBL03,15,81
3,JC Buttler,lbw b Bird,0,2,2,0,0,0,Melbourne Renegades,Melbourne Stars,654059,BBL03,15,81
4,BJ Rohrer,lbw b Bird,0,1,1,0,0,0,Melbourne Renegades,Melbourne Stars,654059,BBL03,15,81
5,TLW Cooper,c White b Hastings,60,44,57,4,2,136.36,Melbourne Renegades,Melbourne Stars,654059,BBL03,15,81
6,PM Nevill †,c Bird b Malinga,3,5,5,0,0,60,Melbourne Renegades,Melbourne Stars,654059,BBL03,15,81
7,MG Gale,not out,0,6,10,0,0,0,Melbourne Renegades,Melbourne Stars,654059,BBL03,15,81
1,CL White (c),not out,84,49,68,6,4,171.42,Melbourne Stars,Melbourne Renegades,654059,BBL03,15,81
2,LJ Wright,c Hill b O'Brien,17,21,32,1,1,80.95,Melbourne Stars,Melbourne Renegades,654059,BBL03,15,81
3,GJ Maxwell,not out,58,28,34,2,6,207.14,Melbourne Stars,Melbourne Renegades,654059,BBL03,15,81
1,M Klinger,c Henriques b O'Keefe,1,5,,0,0,20,Adelaide Strikers,Sydney Sixers,654061,BBL03,16,82
2,AD Hales,c Bopara b Lalor,8,10,,1,0,80,Adelaide Strikers,Sydney Sixers,654061,BBL03,16,82
3,PJ Hughes (c), b North,12,22,,1,0,54.54,Adelaide Strikers,Sydney Sixers,654061,BBL03,16,82
4,CJ Ferguson,c †Smith b Hazlewood,5,6,,0,0,83.33,Adelaide Strikers,Sydney Sixers,654061,BBL03,16,82
5,NJ Reardon,run out (†Smith),43,29,,3,1,148.27,Adelaide Strikers,Sydney Sixers,654061,BBL03,16,82
6,Shakib Al Hasan,c O'Keefe b Hazlewood,46,30,,3,2,153.33,Adelaide Strikers,Sydney Sixers,654061,BBL03,16,82
7,TP Ludeman †,c Henriques b Hazlewood,10,4,,1,1,250,Adelaide Strikers,Sydney Sixers,654061,BBL03,16,82
8,MG Neser,not out,7,9,,0,0,77.77,Adelaide Strikers,Sydney Sixers,654061,BBL03,16,82
9,KW Richardson,not out,8,5,,1,0,160,Adelaide Strikers,Sydney Sixers,654061,BBL03,16,82
1,MJ Lumb,c Hughes b Shakib Al Hasan,54,41,,1,5,131.7,Sydney Sixers,Adelaide Strikers,654061,BBL03,16,82
2,NJ Maddinson,c Neser b Tait,0,3,,0,0,0,Sydney Sixers,Adelaide Strikers,654061,BBL03,16,82
3,MC Henriques (c),lbw b Shakib Al Hasan,26,18,,5,0,144.44,Sydney Sixers,Adelaide Strikers,654061,BBL03,16,82
4,MJ North,c Reardon b Richardson,38,30,,1,2,126.66,Sydney Sixers,Adelaide Strikers,654061,BBL03,16,82
5,RS Bopara,not out,23,19,,2,0,121.05,Sydney Sixers,Adelaide Strikers,654061,BBL03,16,82
6,JC Silk,not out,4,4,,0,0,100,Sydney Sixers,Adelaide Strikers,654061,BBL03,16,82
1,SE Marsh,c †Paine b Hilfenhaus,40,32,,4,1,125,Perth Scorchers,Hobart Hurricanes,654063,BBL03,17,83
2,SM Katich (c),run out (Bollinger/Doherty),22,20,,1,1,110,Perth Scorchers,Hobart Hurricanes,654063,BBL03,17,83
3,AC Voges,run out (Blizzard),2,2,,0,0,100,Perth Scorchers,Hobart Hurricanes,654063,BBL03,17,83
4,CJ Simmons,run out (Blizzard/Laughlin),8,10,,1,0,80,Perth Scorchers,Hobart Hurricanes,654063,BBL03,17,83
5,MR Marsh,c Dunk b Laughlin,33,31,,2,1,106.45,Perth Scorchers,Hobart Hurricanes,654063,BBL03,17,83
6,AJ Turner,not out,32,17,,2,1,188.23,Perth Scorchers,Hobart Hurricanes,654063,BBL03,17,83
7,NM Coulter-Nile,c Laughlin b Bollinger,2,5,,0,0,40,Perth Scorchers,Hobart Hurricanes,654063,BBL03,17,83
8,SM Whiteman †,run out (Wells/†Paine),9,4,,1,0,225,Perth Scorchers,Hobart Hurricanes,654063,BBL03,17,83
1,BR Dunk,c SE Marsh b MR Marsh,28,26,,3,0,107.69,Hobart Hurricanes,Perth Scorchers,654063,BBL03,17,83
2,TD Paine (c) †,c Katich b Coulter-Nile,9,10,,1,0,90,Hobart Hurricanes,Perth Scorchers,654063,BBL03,17,83
3,TR Birt,run out (Behrendorff),22,14,,1,2,157.14,Hobart Hurricanes,Perth Scorchers,654063,BBL03,17,83
4,Shoaib Malik,c Behrendorff b Yasir Arafat,26,30,,2,0,86.66,Hobart Hurricanes,Perth Scorchers,654063,BBL03,17,83
5,OA Shah,lbw b Coulter-Nile,32,26,,3,1,123.07,Hobart Hurricanes,Perth Scorchers,654063,BBL03,17,83
6,JW Wells, b Yasir Arafat,1,3,,0,0,33.33,Hobart Hurricanes,Perth Scorchers,654063,BBL03,17,83
7,AC Blizzard,not out,6,6,,0,0,100,Hobart Hurricanes,Perth Scorchers,654063,BBL03,17,83
8,B Laughlin,lbw b Coulter-Nile,1,3,,0,0,33.33,Hobart Hurricanes,Perth Scorchers,654063,BBL03,17,83
9,BW Hilfenhaus,not out,0,2,,0,0,0,Hobart Hurricanes,Perth Scorchers,654063,BBL03,17,83
1,LA Pomersbach,c Hughes b Sandhu,25,17,22,1,2,147.05,Brisbane Heat,Sydney Thunder,654065,BBL03,18,84
2,C Kieswetter †,c Hussey b Nannes,4,10,13,0,0,40,Brisbane Heat,Sydney Thunder,654065,BBL03,18,84
3,PJ Forrest,run out (Sandhu),10,17,16,1,0,58.82,Brisbane Heat,Sydney Thunder,654065,BBL03,18,84
4,DT Christian,c Khawaja b Nannes,24,20,35,0,2,120,Brisbane Heat,Sydney Thunder,654065,BBL03,18,84
5,CA Lynn,c †Carters b Nannes,56,35,40,1,6,160,Brisbane Heat,Sydney Thunder,654065,BBL03,18,84
6,BCJ Cutting,not out,25,13,25,0,3,192.3,Brisbane Heat,Sydney Thunder,654065,BBL03,18,84
7,JR Hopes (c),not out,12,8,12,1,0,150,Brisbane Heat,Sydney Thunder,654065,BBL03,18,84
1,UT Khawaja,c Pomersbach b Hopes,22,22,31,1,0,100,Sydney Thunder,Brisbane Heat,654065,BBL03,18,84
2,DP Hughes,c Forrest b Steketee,7,13,12,1,0,53.84,Sydney Thunder,Brisbane Heat,654065,BBL03,18,84
3,MEK Hussey (c),c Forrest b Gannon,60,37,49,4,2,162.16,Sydney Thunder,Brisbane Heat,654065,BBL03,18,84
4,KR Patterson,lbw b Hopes,2,4,7,0,0,50,Sydney Thunder,Brisbane Heat,654065,BBL03,18,84
5,JS Floros, b Cutting,2,5,4,0,0,40,Sydney Thunder,Brisbane Heat,654065,BBL03,18,84
6,CJ Borgas,c Pomersbach b Gannon,5,6,8,0,0,83.33,Sydney Thunder,Brisbane Heat,654065,BBL03,18,84
7,RGL Carters †,c Vettori b Gannon,7,7,11,0,0,100,Sydney Thunder,Brisbane Heat,654065,BBL03,18,84
8,CP Tremain,c & b Gannon,0,1,1,0,0,0,Sydney Thunder,Brisbane Heat,654065,BBL03,18,84
9,BAW Mendis,c Christian b Steketee,8,5,5,2,0,160,Sydney Thunder,Brisbane Heat,654065,BBL03,18,84
10,GS Sandhu,run out (Hopes),3,3,7,0,0,100,Sydney Thunder,Brisbane Heat,654065,BBL03,18,84
11,DP Nannes,not out,0,1,2,0,0,0,Sydney Thunder,Brisbane Heat,654065,BBL03,18,84
1,M Klinger,c Bird b Faulkner,42,49,77,3,1,85.71,Adelaide Strikers,Melbourne Stars,654067,BBL03,19,85
2,AD Hales,c Maxwell b Bird,5,3,12,1,0,166.66,Adelaide Strikers,Melbourne Stars,654067,BBL03,19,85
3,TP Ludeman †,c Muirhead b Faulkner,6,11,10,0,0,54.54,Adelaide Strikers,Melbourne Stars,654067,BBL03,19,85
4,PJ Hughes (c),c †Wade b Faulkner,0,1,1,0,0,0,Adelaide Strikers,Melbourne Stars,654067,BBL03,19,85
5,NJ Reardon, b Malinga,1,6,7,0,0,16.66,Adelaide Strikers,Melbourne Stars,654067,BBL03,19,85
6,Shakib Al Hasan,c Faulkner b Wright,2,8,7,0,0,25,Adelaide Strikers,Melbourne Stars,654067,BBL03,19,85
7,MG Neser,st †Wade b Muirhead,4,11,12,0,0,36.36,Adelaide Strikers,Melbourne Stars,654067,BBL03,19,85
8,KW Richardson,run out (Maxwell/†Wade),21,24,34,2,1,87.5,Adelaide Strikers,Melbourne Stars,654067,BBL03,19,85
9,JM Holland, b Malinga,0,3,3,0,0,0,Adelaide Strikers,Melbourne Stars,654067,BBL03,19,85
10,GD Putland,not out,1,3,9,0,0,33.33,Adelaide Strikers,Melbourne Stars,654067,BBL03,19,85
11,SW Tait,not out,1,1,1,0,0,100,Adelaide Strikers,Melbourne Stars,654067,BBL03,19,85
1,CL White (c),c Shakib Al Hasan b Neser,13,12,23,1,0,108.33,Melbourne Stars,Adelaide Strikers,654067,BBL03,19,85
2,LJ Wright,c Richardson b Neser,49,20,21,8,2,245,Melbourne Stars,Adelaide Strikers,654067,BBL03,19,85
3,GJ Maxwell,not out,25,10,11,4,1,250,Melbourne Stars,Adelaide Strikers,654067,BBL03,19,85
4,MS Wade †,not out,2,3,9,0,0,66.66,Melbourne Stars,Adelaide Strikers,654067,BBL03,19,85
1,CJ Simmons, b Lee,0,2,1,0,0,0,Perth Scorchers,Sydney Sixers,654069,BBL03,20,86
2,SM Katich (c),c †DLR Smith b Hazlewood,71,56,69,7,0,126.78,Perth Scorchers,Sydney Sixers,654069,BBL03,20,86
3,MR Marsh,c †DLR Smith b Lee,0,2,1,0,0,0,Perth Scorchers,Sydney Sixers,654069,BBL03,20,86
4,SM Whiteman †, b Lee,53,49,62,3,1,108.16,Perth Scorchers,Sydney Sixers,654069,BBL03,20,86
