,Order,Batsman,Dismissal,R,B,M,4s,6s,SR,Batting Team,Bowling Team,Match ID,Season,Season Match No,Match No
0,1,BB McCullum,c Starc b MacGill,5,12,17,1,0,41.66,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
1,2,ML Hayden, b MacGill,29,28,56,4,0,103.57,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
2,3,JR Hopes (c),c Lumb b Bravo,18,20,20,3,0,90,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
3,4,CA Lynn,c Henriques b Hazlewood,2,3,1,0,0,66.66,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
4,5,DT Christian,c Smith b Starc,32,22,43,1,2,145.45,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
5,6,AW Robinson,lbw b Smith,22,12,12,3,1,183.33,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
6,7,PJ Forrest,c Smith b Starc,16,14,17,1,1,114.28,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
7,8,CD Hartley †,not out,7,4,8,1,0,175,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
8,9,ND Buchanan,c Lee b Hazlewood,1,5,6,0,0,20,Brisbane Heat,Sydney Sixers,524915,BBL01,1,1
9,1,BJ Haddin (c) †,c Hayden b Christian,76,59,70,5,5,128.81,Sydney Sixers,Brisbane Heat,524915,BBL01,1,1
10,2,MJ Lumb,c McCullum b Hopes,18,12,17,3,0,150,Sydney Sixers,Brisbane Heat,524915,BBL01,1,1
11,3,NJ Maddinson, b McDermott,28,32,43,1,0,87.5,Sydney Sixers,Brisbane Heat,524915,BBL01,1,1
12,4,SPD Smith,not out,11,7,11,1,0,157.14,Sydney Sixers,Brisbane Heat,524915,BBL01,1,1
13,5,MC Henriques,not out,5,2,2,1,0,250,Sydney Sixers,Brisbane Heat,524915,BBL01,1,1
14,1,RJ Quiney,c Edwards b Bollinger,7,9,9,0,1,77.77,Melbourne Stars,Sydney Thunder,524916,BBL01,2,2
15,2,MS Wade †,c Coyte b Doran,14,14,29,1,0,100,Melbourne Stars,Sydney Thunder,524916,BBL01,2,2
16,3,GJ Bailey, b Bollinger,23,25,36,3,0,92,Melbourne Stars,Sydney Thunder,524916,BBL01,2,2
17,4,DJ Hussey,run out (Warner/Gayle),52,27,31,3,3,192.59,Melbourne Stars,Sydney Thunder,524916,BBL01,2,2
18,5,CL White (c),c Warner b Coyte,1,3,4,0,0,33.33,Melbourne Stars,Sydney Thunder,524916,BBL01,2,2
19,6,AC Voges,c Abbott b Coyte,10,13,16,0,0,76.92,Melbourne Stars,Sydney Thunder,524916,BBL01,2,2
20,7,LJ Wright,not out,27,20,22,3,1,135,Melbourne Stars,Sydney Thunder,524916,BBL01,2,2
21,8,JP Faulkner,c Warner b Abbott,7,6,10,0,0,116.66,Melbourne Stars,Sydney Thunder,524916,BBL01,2,2
22,9,CJ McKay,not out,3,3,4,0,0,100,Melbourne Stars,Sydney Thunder,524916,BBL01,2,2
23,1,DA Warner (c),not out,102,51,82,6,6,200,Sydney Thunder,Melbourne Stars,524916,BBL01,2,2
24,2,CH Gayle, b Faulkner,4,4,5,1,0,100,Sydney Thunder,Melbourne Stars,524916,BBL01,2,2
25,3,UT Khawaja,c †Wade b McKay,3,7,11,0,0,42.85,Sydney Thunder,Melbourne Stars,524916,BBL01,2,2
26,4,DLR Smith,c Voges b Wright,21,24,24,3,0,87.5,Sydney Thunder,Melbourne Stars,524916,BBL01,2,2
27,5,CA Philipson,c Hussey b Faulkner,2,7,8,0,0,28.57,Sydney Thunder,Melbourne Stars,524916,BBL01,2,2
28,6,BR Dunk †,not out,19,21,30,1,0,90.47,Sydney Thunder,Melbourne Stars,524916,BBL01,2,2
29,1,DJ Harris,c †Manou b Heal,49,33,,5,2,148.48,Adelaide Strikers,Melbourne Renegades,524917,BBL01,3,3
30,2,M Klinger (c),c Reardon b Heal,46,35,,4,1,131.42,Adelaide Strikers,Melbourne Renegades,524917,BBL01,3,3
31,3,CJ Ferguson,c Maxwell b Abdul Razzaq,18,19,,0,0,94.73,Adelaide Strikers,Melbourne Renegades,524917,BBL01,3,3
32,4,AC Blizzard,c †Manou b Tait,30,18,,2,2,166.66,Adelaide Strikers,Melbourne Renegades,524917,BBL01,3,3
33,5,AJ Crosthwaite †,c Maxwell b Nannes,15,6,,0,2,250,Adelaide Strikers,Melbourne Renegades,524917,BBL01,3,3
34,6,CJ Borgas,not out,28,9,,2,2,311.11,Adelaide Strikers,Melbourne Renegades,524917,BBL01,3,3
35,7,J Botha,not out,0,0,,0,0,-,Adelaide Strikers,Melbourne Renegades,524917,BBL01,3,3
36,1,AJ Finch,c Blizzard b O'Brien,4,6,,1,0,66.66,Melbourne Renegades,Adelaide Strikers,524917,BBL01,3,3
37,2,MJ Buchanan,run out (Botha/Richardson),11,17,,1,0,64.7,Melbourne Renegades,Adelaide Strikers,524917,BBL01,3,3
38,3,GJ Maxwell,c Richardson b Botha,46,31,,5,1,148.38,Melbourne Renegades,Adelaide Strikers,524917,BBL01,3,3
39,4,Shahid Afridi,c Lyon b Richardson,9,7,,1,0,128.57,Melbourne Renegades,Adelaide Strikers,524917,BBL01,3,3
40,5,AB McDonald (c),c Klinger b Richardson,35,31,,1,1,112.9,Melbourne Renegades,Adelaide Strikers,524917,BBL01,3,3
41,6,NJ Reardon,c Blizzard b O'Brien,2,3,,0,0,66.66,Melbourne Renegades,Adelaide Strikers,524917,BBL01,3,3
42,7,Abdul Razzaq,c Harris b Lyon,1,2,,0,0,50,Melbourne Renegades,Adelaide Strikers,524917,BBL01,3,3
43,8,GA Manou †,not out,4,5,,0,0,80,Melbourne Renegades,Adelaide Strikers,524917,BBL01,3,3
44,9,AK Heal,c †Crosthwaite b Richardson,1,2,,0,0,50,Melbourne Renegades,Adelaide Strikers,524917,BBL01,3,3
45,10,DP Nannes,run out (Botha),2,2,,0,0,100,Melbourne Renegades,Adelaide Strikers,524917,BBL01,3,3
46,11,SW Tait,st †Crosthwaite b Botha,0,1,,0,0,0,Melbourne Renegades,Adelaide Strikers,524917,BBL01,3,3
47,1,PA Jaques,c Hussey b Edmondson,18,19,,2,0,94.73,Hobart Hurricanes,Perth Scorchers,524918,BBL01,4,4
48,2,RT Ponting,c Hussey b Edmondson,17,19,,2,0,89.47,Hobart Hurricanes,Perth Scorchers,524918,BBL01,4,4
49,3,TR Birt,c Rimmington b Edmondson,40,30,,4,1,133.33,Hobart Hurricanes,Perth Scorchers,524918,BBL01,4,4
50,4,OA Shah,run out (Collingwood/†Ronchi),24,19,,2,0,126.31,Hobart Hurricanes,Perth Scorchers,524918,BBL01,4,4
51,5,TIF Triffitt †, b Edmondson,20,15,,1,1,133.33,Hobart Hurricanes,Perth Scorchers,524918,BBL01,4,4
52,6,RJG Lockyear,run out (Collingwood/†Ronchi),4,6,,0,0,66.66,Hobart Hurricanes,Perth Scorchers,524918,BBL01,4,4
53,7,JJ Krejza,lbw b Beer,1,2,,0,0,50,Hobart Hurricanes,Perth Scorchers,524918,BBL01,4,4
54,8,Naved-ul-Hasan,c Gibbs b Hogg,4,3,,1,0,133.33,Hobart Hurricanes,Perth Scorchers,524918,BBL01,4,4
55,9,XJ Doherty (c),run out (†Ronchi),2,4,,0,0,50,Hobart Hurricanes,Perth Scorchers,524918,BBL01,4,4
56,10,BW Hilfenhaus,not out,0,1,,0,0,0,Hobart Hurricanes,Perth Scorchers,524918,BBL01,4,4
57,11,B Laughlin, b Rimmington,0,1,,0,0,0,Hobart Hurricanes,Perth Scorchers,524918,BBL01,4,4
58,1,HH Gibbs,c †Triffitt b Hilfenhaus,2,5,,0,0,40,Perth Scorchers,Hobart Hurricanes,524918,BBL01,4,4
59,2,MJ North (c),c Lockyear b Krejza,16,18,,1,0,88.88,Perth Scorchers,Hobart Hurricanes,524918,BBL01,4,4
60,3,SM Katich,c †Triffitt b Hilfenhaus,8,8,,1,0,100,Perth Scorchers,Hobart Hurricanes,524918,BBL01,4,4
61,4,MEK Hussey,c Laughlin b Lockyear,0,6,,0,0,0,Perth Scorchers,Hobart Hurricanes,524918,BBL01,4,4
62,5,PD Collingwood,lbw b Laughlin,4,13,,0,0,30.76,Perth Scorchers,Hobart Hurricanes,524918,BBL01,4,4
63,6,MR Marsh,c Laughlin b Naved-ul-Hasan,35,35,,2,1,100,Perth Scorchers,Hobart Hurricanes,524918,BBL01,4,4
64,7,L Ronchi †, b Naved-ul-Hasan,13,16,,1,0,81.25,Perth Scorchers,Hobart Hurricanes,524918,BBL01,4,4
65,8,GB Hogg,run out (Hilfenhaus/†Triffitt),1,1,,0,0,100,Perth Scorchers,Hobart Hurricanes,524918,BBL01,4,4
66,9,NJ Rimmington,c Birt b Doherty,22,14,,0,2,157.14,Perth Scorchers,Hobart Hurricanes,524918,BBL01,4,4
67,10,MA Beer,run out (Naved-ul-Hasan),1,3,,0,0,33.33,Perth Scorchers,Hobart Hurricanes,524918,BBL01,4,4
68,11,BM Edmondson,not out,0,0,,0,0,-,Perth Scorchers,Hobart Hurricanes,524918,BBL01,4,4
69,1,RJ Quiney,c Christian b Harris,97,60,86,5,6,161.66,Melbourne Stars,Brisbane Heat,524919,BBL01,5,5
70,2,MS Wade †,c Forrest b Hauritz,5,4,7,0,0,125,Melbourne Stars,Brisbane Heat,524919,BBL01,5,5
71,3,GJ Bailey,lbw b Hauritz,10,9,9,2,0,111.11,Melbourne Stars,Brisbane Heat,524919,BBL01,5,5
72,4,DJ Hussey,c Buchanan b Christian,45,32,45,4,1,140.62,Melbourne Stars,Brisbane Heat,524919,BBL01,5,5
73,5,CL White (c), b Hauritz,2,4,7,0,0,50,Melbourne Stars,Brisbane Heat,524919,BBL01,5,5
74,6,AC Voges,run out (Robinson/Harris),13,9,11,1,0,144.44,Melbourne Stars,Brisbane Heat,524919,BBL01,5,5
75,7,LJ Wright,not out,0,2,4,0,0,0,Melbourne Stars,Brisbane Heat,524919,BBL01,5,5
76,8,JP Faulkner,run out (†McCullum),0,0,1,0,0,-,Melbourne Stars,Brisbane Heat,524919,BBL01,5,5
77,1,BB McCullum †, b Warne,36,25,41,3,1,144,Brisbane Heat,Melbourne Stars,524919,BBL01,5,5
78,2,ML Hayden,c Wright b McKay,22,10,14,4,0,220,Brisbane Heat,Melbourne Stars,524919,BBL01,5,5
79,3,CA Lynn,c †Wade b McKay,13,9,8,2,0,144.44,Brisbane Heat,Melbourne Stars,524919,BBL01,5,5
80,4,PJ Forrest (c),c Warne b Dernbach,12,16,22,0,0,75,Brisbane Heat,Melbourne Stars,524919,BBL01,5,5
81,5,DT Christian,c Wright b Faulkner,18,11,14,0,2,163.63,Brisbane Heat,Melbourne Stars,524919,BBL01,5,5
82,6,AW Robinson,run out (†Wade),1,3,5,0,0,33.33,Brisbane Heat,Melbourne Stars,524919,BBL01,5,5
83,7,MG Neser,not out,30,21,38,2,0,142.85,Brisbane Heat,Melbourne Stars,524919,BBL01,5,5
84,8,ND Buchanan,hit wicket b McKay,2,6,6,0,0,33.33,Brisbane Heat,Melbourne Stars,524919,BBL01,5,5
85,9,RJ Harris,not out,25,20,27,2,0,125,Brisbane Heat,Melbourne Stars,524919,BBL01,5,5
86,1,JW Wells, b Thornely,17,18,,1,0,94.44,Hobart Hurricanes,Sydney Sixers,524920,BBL01,6,6
87,2,PA Jaques,c Henriques b Starc,73,55,,6,1,132.72,Hobart Hurricanes,Sydney Sixers,524920,BBL01,6,6
88,3,TR Birt,c †Nevill b Starc,65,41,,4,3,158.53,Hobart Hurricanes,Sydney Sixers,524920,BBL01,6,6
89,4,OA Shah,not out,8,6,,1,0,133.33,Hobart Hurricanes,Sydney Sixers,524920,BBL01,6,6
90,5,TIF Triffitt †,not out,0,0,,0,0,-,Hobart Hurricanes,Sydney Sixers,524920,BBL01,6,6
91,1,PM Nevill †, b Hilfenhaus,3,4,,0,0,75,Sydney Sixers,Hobart Hurricanes,524920,BBL01,6,6
92,2,MJ Lumb, b Krejza,3,9,,0,0,33.33,Sydney Sixers,Hobart Hurricanes,524920,BBL01,6,6
93,3,NJ Maddinson,lbw b Krejza,33,27,,4,0,122.22,Sydney Sixers,Hobart Hurricanes,524920,BBL01,6,6
94,4,SPD Smith (c),c Laughlin b Doherty,28,28,,4,0,100,Sydney Sixers,Hobart Hurricanes,524920,BBL01,6,6
95,5,MC Henriques,c Jaques b Naved-ul-Hasan,22,17,,1,0,129.41,Sydney Sixers,Hobart Hurricanes,524920,BBL01,6,6
96,6,DJ Bravo,c Shah b Laughlin,3,5,,0,0,60,Sydney Sixers,Hobart Hurricanes,524920,BBL01,6,6
97,7,DJ Thornely, b Naved-ul-Hasan,4,4,,0,0,100,Sydney Sixers,Hobart Hurricanes,524920,BBL01,6,6
98,8,B Lee, b Naved-ul-Hasan,8,7,,1,0,114.28,Sydney Sixers,Hobart Hurricanes,524920,BBL01,6,6
99,9,MA Starc,not out,8,8,,1,0,100,Sydney Sixers,Hobart Hurricanes,524920,BBL01,6,6
100,10,JR Hazlewood, b Naved-ul-Hasan,2,6,,0,0,33.33,Sydney Sixers,Hobart Hurricanes,524920,BBL01,6,6
101,11,SCG MacGill,not out,6,5,,1,0,120,Sydney Sixers,Hobart Hurricanes,524920,BBL01,6,6
102,1,AJ Finch, b Hogg,49,40,40,5,1,122.5,Melbourne Renegades,Perth Scorchers,524921,BBL01,7,7
103,2,AB McDonald (c),c MR Marsh b Beer,50,33,50,3,2,151.51,Melbourne Renegades,Perth Scorchers,524921,BBL01,7,7
104,3,GJ Maxwell, b Beer,31,15,17,1,3,206.66,Melbourne Renegades,Perth Scorchers,524921,BBL01,7,7
105,4,NJ Reardon,not out,22,15,25,1,1,146.66,Melbourne Renegades,Perth Scorchers,524921,BBL01,7,7
106,5,Abdul Razzaq,not out,27,17,17,1,2,158.82,Melbourne Renegades,Perth Scorchers,524921,BBL01,7,7
107,1,HH Gibbs,c Sheridan b McDonald,57,36,41,8,2,158.33,Perth Scorchers,Melbourne Renegades,524921,BBL01,7,7
108,2,SE Marsh,not out,99,52,82,9,5,190.38,Perth Scorchers,Melbourne Renegades,524921,BBL01,7,7
109,3,MR Marsh, b Harwood,18,19,24,0,1,94.73,Perth Scorchers,Melbourne Renegades,524921,BBL01,7,7
110,4,L Ronchi †,not out,8,10,15,0,0,80,Perth Scorchers,Melbourne Renegades,524921,BBL01,7,7
111,1,M Klinger (c),c Abbott b Doran,6,7,10,1,0,85.71,Adelaide Strikers,Sydney Thunder,524922,BBL01,8,8
112,2,DJ Harris,c Floros b Edwards,19,17,27,0,1,111.76,Adelaide Strikers,Sydney Thunder,524922,BBL01,8,8
113,3,AC Blizzard,c Floros b Coyte,20,13,12,3,0,153.84,Adelaide Strikers,Sydney Thunder,524922,BBL01,8,8
114,4,CJ Ferguson,c Coyte b Abbott,2,5,11,0,0,40,Adelaide Strikers,Sydney Thunder,524922,BBL01,8,8
115,5,CJ Borgas,c Floros b Abbott,24,26,36,1,0,92.3,Adelaide Strikers,Sydney Thunder,524922,BBL01,8,8
116,6,J Botha,c Abbott b Edwards,41,33,33,5,0,124.24,Adelaide Strikers,Sydney Thunder,524922,BBL01,8,8
117,7,AJ Crosthwaite †,run out (Edwards),18,12,12,3,0,150,Adelaide Strikers,Sydney Thunder,524922,BBL01,8,8
118,8,KW Richardson,run out (Khawaja/†Dunk),11,5,8,1,1,220,Adelaide Strikers,Sydney Thunder,524922,BBL01,8,8
119,9,AW O'Brien,not out,6,3,6,1,0,200,Adelaide Strikers,Sydney Thunder,524922,BBL01,8,8
120,1,DLR Smith (c), b O'Brien,6,9,13,1,0,66.66,Sydney Thunder,Adelaide Strikers,524922,BBL01,8,8
121,2,CH Gayle,not out,100,54,81,3,11,185.18,Sydney Thunder,Adelaide Strikers,524922,BBL01,8,8
122,3,UT Khawaja,st †Crosthwaite b O'Brien,15,16,22,1,0,93.75,Sydney Thunder,Adelaide Strikers,524922,BBL01,8,8
123,4,BR Dunk †,c Borgas b Botha,8,11,13,0,1,72.72,Sydney Thunder,Adelaide Strikers,524922,BBL01,8,8
124,5,CA Philipson, b O'Brien,2,8,8,0,0,25,Sydney Thunder,Adelaide Strikers,524922,BBL01,8,8
125,6,JS Floros,not out,17,13,21,3,0,130.76,Sydney Thunder,Adelaide Strikers,524922,BBL01,8,8
126,1,MJ Lumb,c Quiney b McKay,18,13,14,2,1,138.46,Sydney Sixers,Melbourne Stars,524923,BBL01,9,9
127,2,DJ Bravo,c Faulkner b Warne,51,39,52,4,3,130.76,Sydney Sixers,Melbourne Stars,524923,BBL01,9,9
128,3,NJ Maddinson,lbw b Hussey,24,17,14,1,2,141.17,Sydney Sixers,Melbourne Stars,524923,BBL01,9,9
129,4,SPD Smith (c),lbw b Simpson,7,11,9,0,0,63.63,Sydney Sixers,Melbourne Stars,524923,BBL01,9,9
130,5,MC Henriques,c Wright b Faulkner,1,3,5,0,0,33.33,Sydney Sixers,Melbourne Stars,524923,BBL01,9,9
131,6,BJ Rohrer,c Hussey b McKay,29,19,27,2,0,152.63,Sydney Sixers,Melbourne Stars,524923,BBL01,9,9
132,7,PM Nevill †,c & b Hussey,1,3,3,0,0,33.33,Sydney Sixers,Melbourne Stars,524923,BBL01,9,9
133,8,DJ Thornely,run out (†Wade/McKay),29,13,18,1,2,223.07,Sydney Sixers,Melbourne Stars,524923,BBL01,9,9
134,9,B Lee,run out (Wright/†Wade),1,1,4,0,0,100,Sydney Sixers,Melbourne Stars,524923,BBL01,9,9
135,10,MA Starc,not out,1,1,2,0,0,100,Sydney Sixers,Melbourne Stars,524923,BBL01,9,9
136,1,RJ Quiney,c Henriques b Lee,14,15,11,3,0,93.33,Melbourne Stars,Sydney Sixers,524923,BBL01,9,9
137,2,MS Wade †,c Smith b Thornely,1,2,7,0,0,50,Melbourne Stars,Sydney Sixers,524923,BBL01,9,9
138,3,GJ Bailey,c Lumb b Smith,33,25,33,3,0,132,Melbourne Stars,Sydney Sixers,524923,BBL01,9,9
139,4,DJ Hussey,run out (Rohrer),42,30,45,5,1,140,Melbourne Stars,Sydney Sixers,524923,BBL01,9,9
140,5,CL White (c),c Lee b MacGill,3,4,3,0,0,75,Melbourne Stars,Sydney Sixers,524923,BBL01,9,9
141,6,AC Voges,run out (Maddinson/†Nevill),31,22,26,3,0,140.9,Melbourne Stars,Sydney Sixers,524923,BBL01,9,9
142,7,LJ Wright,c Lumb b Smith,9,6,7,1,0,150,Melbourne Stars,Sydney Sixers,524923,BBL01,9,9
143,8,JP Faulkner,c Smith b Starc,13,8,11,2,0,162.5,Melbourne Stars,Sydney Sixers,524923,BBL01,9,9
144,9,CP Simpson,not out,8,5,10,1,0,160,Melbourne Stars,Sydney Sixers,524923,BBL01,9,9
145,10,CJ McKay,not out,6,3,5,1,0,200,Melbourne Stars,Sydney Sixers,524923,BBL01,9,9
146,1,JW Wells,c Blizzard b Botha,31,27,,3,1,114.81,Hobart Hurricanes,Adelaide Strikers,524924,BBL01,10,10
147,2,PA Jaques,c Klinger b McGain,41,42,,2,0,97.61,Hobart Hurricanes,Adelaide Strikers,524924,BBL01,10,10
148,3,TR Birt,c Cooper b Botha,44,26,,3,3,169.23,Hobart Hurricanes,Adelaide Strikers,524924,BBL01,10,10
149,4,OA Shah,not out,36,18,,2,3,200,Hobart Hurricanes,Adelaide Strikers,524924,BBL01,10,10
150,5,TIF Triffitt †,c Richardson b O'Brien,1,2,,0,0,50,Hobart Hurricanes,Adelaide Strikers,524924,BBL01,10,10
151,6,MJ Johnston,not out,13,5,,0,1,260,Hobart Hurricanes,Adelaide Strikers,524924,BBL01,10,10
152,1,AC Blizzard, b Doherty,20,14,,2,1,142.85,Adelaide Strikers,Hobart Hurricanes,524924,BBL01,10,10
153,2,M Klinger (c),c Krejza b Doherty,36,31,,4,0,116.12,Adelaide Strikers,Hobart Hurricanes,524924,BBL01,10,10
154,3,AJ Crosthwaite †,lbw b Krejza,5,10,,1,0,50,Adelaide Strikers,Hobart Hurricanes,524924,BBL01,10,10
155,4,CJ Ferguson,c Lockyear b Naved-ul-Hasan,2,4,,0,0,50,Adelaide Strikers,Hobart Hurricanes,524924,BBL01,10,10
156,5,CJ Borgas,c †Triffitt b Naved-ul-Hasan,31,25,,4,0,124,Adelaide Strikers,Hobart Hurricanes,524924,BBL01,10,10
157,6,TLW Cooper,not out,43,27,,5,1,159.25,Adelaide Strikers,Hobart Hurricanes,524924,BBL01,10,10
158,7,J Botha,run out (Wells/†Triffitt),6,3,,1,0,200,Adelaide Strikers,Hobart Hurricanes,524924,BBL01,10,10
159,8,KW Richardson, b Doherty,0,2,,0,0,0,Adelaide Strikers,Hobart Hurricanes,524924,BBL01,10,10
160,9,AW O'Brien, b Doherty,0,1,,0,0,0,Adelaide Strikers,Hobart Hurricanes,524924,BBL01,10,10
161,10,AC Thomas,not out,1,3,,0,0,33.33,Adelaide Strikers,Hobart Hurricanes,524924,BBL01,10,10
162,1,HH Gibbs, b Christian,38,22,,4,2,172.72,Perth Scorchers,Brisbane Heat,524925,BBL01,11,11
163,2,MJ North (c), b van der Merwe,40,29,,4,2,137.93,Perth Scorchers,Brisbane Heat,524925,BBL01,11,11
164,3,MR Marsh,c Hayden b Neser,33,21,,2,2,157.14,Perth Scorchers,Brisbane Heat,524925,BBL01,11,11
165,4,SM Katich, b Hauritz,9,13,,0,0,69.23,Perth Scorchers,Brisbane Heat,524925,BBL01,11,11
166,5,L Ronchi †,c †Hartley b Neser,2,3,,0,0,66.66,Perth Scorchers,Brisbane Heat,524925,BBL01,11,11
167,6,PD Collingwood,lbw b Christian,14,10,,2,0,140,Perth Scorchers,Brisbane Heat,524925,BBL01,11,11
168,7,NJ Rimmington, b Harris,7,10,,0,0,70,Perth Scorchers,Brisbane Heat,524925,BBL01,11,11
169,8,NM Coulter-Nile,not out,7,8,,1,0,87.5,Perth Scorchers,Brisbane Heat,524925,BBL01,11,11
170,9,GB Hogg,run out (†Hartley),2,2,,0,0,100,Perth Scorchers,Brisbane Heat,524925,BBL01,11,11
171,10,MA Beer,not out,2,2,,0,0,100,Perth Scorchers,Brisbane Heat,524925,BBL01,11,11
172,1,CA Lynn,c Hogg b Rimmington,4,7,,1,0,57.14,Brisbane Heat,Perth Scorchers,524925,BBL01,11,11
173,2,ML Hayden,st †Ronchi b Hogg,33,26,,5,0,126.92,Brisbane Heat,Perth Scorchers,524925,BBL01,11,11
174,3,PJ Forrest (c), b Edmondson,59,42,,3,4,140.47,Brisbane Heat,Perth Scorchers,524925,BBL01,11,11
175,4,AW Robinson,c North b Rimmington,19,23,,1,0,82.6,Brisbane Heat,Perth Scorchers,524925,BBL01,11,11
176,5,DT Christian, b Edmondson,9,8,,1,0,112.5,Brisbane Heat,Perth Scorchers,524925,BBL01,11,11
177,6,RE van der Merwe,run out (Coulter-Nile),6,4,,1,0,150,Brisbane Heat,Perth Scorchers,524925,BBL01,11,11
178,7,MG Neser,not out,11,5,,0,1,220,Brisbane Heat,Perth Scorchers,524925,BBL01,11,11
179,8,CD Hartley †,not out,4,5,,0,0,80,Brisbane Heat,Perth Scorchers,524925,BBL01,11,11
180,1,AJ Finch, b Doran,41,34,38,4,1,120.58,Melbourne Renegades,Sydney Thunder,524926,BBL01,12,12
181,2,BJ Hodge,c Floros b Doran,44,31,36,5,1,141.93,Melbourne Renegades,Sydney Thunder,524926,BBL01,12,12
182,3,GJ Maxwell, b Abbott,10,15,17,0,0,66.66,Melbourne Renegades,Sydney Thunder,524926,BBL01,12,12
183,4,Shahid Afridi,c Khawaja b Butterworth,16,14,31,1,0,114.28,Melbourne Renegades,Sydney Thunder,524926,BBL01,12,12
184,5,NJ Reardon,c Khawaja b Edwards,4,8,8,0,0,50,Melbourne Renegades,Sydney Thunder,524926,BBL01,12,12
185,6,Abdul Razzaq, b Abbott,13,13,17,0,1,100,Melbourne Renegades,Sydney Thunder,524926,BBL01,12,12
186,7,AB McDonald (c), b Butterworth,0,1,1,0,0,0,Melbourne Renegades,Sydney Thunder,524926,BBL01,12,12
187,8,GA Manou †,run out (†Dunk/Abbott),2,4,6,0,0,50,Melbourne Renegades,Sydney Thunder,524926,BBL01,12,12
188,9,SM Harwood,not out,0,0,1,0,0,-,Melbourne Renegades,Sydney Thunder,524926,BBL01,12,12
189,1,TD Cruickshank,c Reardon b Shahid Afridi,15,22,22,1,1,68.18,Sydney Thunder,Melbourne Renegades,524926,BBL01,12,12
190,2,CH Gayle,c Reardon b Harwood,75,54,81,3,5,138.88,Sydney Thunder,Melbourne Renegades,524926,BBL01,12,12
191,3,UT Khawaja,c Reardon b Shahid Afridi,17,22,28,1,0,77.27,Sydney Thunder,Melbourne Renegades,524926,BBL01,12,12
192,4,DLR Smith (c),st †Manou b Shahid Afridi,3,5,7,0,0,60,Sydney Thunder,Melbourne Renegades,524926,BBL01,12,12
193,5,BR Dunk †,c sub (WD Sheridan) b Tait,3,6,6,0,0,50,Sydney Thunder,Melbourne Renegades,524926,BBL01,12,12
194,6,JS Floros,not out,5,7,12,1,0,71.42,Sydney Thunder,Melbourne Renegades,524926,BBL01,12,12
195,7,LR Butterworth, b Harwood,1,2,2,0,0,50,Sydney Thunder,Melbourne Renegades,524926,BBL01,12,12
196,8,SA Abbott, b Tait,4,2,4,1,0,200,Sydney Thunder,Melbourne Renegades,524926,BBL01,12,12
197,1,DLR Smith (c),c Doherty b Johnston,6,14,,0,0,42.85,Sydney Thunder,Hobart Hurricanes,524927,BBL01,13,13
198,2,CH Gayle,c Naved-ul-Hasan b Krejza,53,33,,2,5,160.6,Sydney Thunder,Hobart Hurricanes,524927,BBL01,13,13
199,3,SA Abbott,c Triffitt b Krejza,39,39,,1,3,100,Sydney Thunder,Hobart Hurricanes,524927,BBL01,13,13
200,4,UT Khawaja,c Triffitt b Laughlin,15,15,,0,0,100,Sydney Thunder,Hobart Hurricanes,524927,BBL01,13,13
201,5,BR Dunk †,c †Birt b Doherty,10,7,,0,0,142.85,Sydney Thunder,Hobart Hurricanes,524927,BBL01,13,13
202,6,JS Floros,lbw b Naved-ul-Hasan,2,4,,0,0,50,Sydney Thunder,Hobart Hurricanes,524927,BBL01,13,13
203,7,TD Cruickshank,c & b Naved-ul-Hasan,2,4,,0,0,50,Sydney Thunder,Hobart Hurricanes,524927,BBL01,13,13
204,8,SJ Coyte,c Krejza b Naved-ul-Hasan,1,2,,0,0,50,Sydney Thunder,Hobart Hurricanes,524927,BBL01,13,13
205,9,LR Butterworth,not out,1,1,,0,0,100,Sydney Thunder,Hobart Hurricanes,524927,BBL01,13,13
206,10,FH Edwards,not out,0,1,,0,0,0,Sydney Thunder,Hobart Hurricanes,524927,BBL01,13,13
207,1,JW Wells,c Abbott b Edwards,29,36,,4,0,80.55,Hobart Hurricanes,Sydney Thunder,524927,BBL01,13,13
208,2,PA Jaques, b Edwards,0,1,,0,0,0,Hobart Hurricanes,Sydney Thunder,524927,BBL01,13,13
209,3,TR Birt †,lbw b Coyte,35,18,,5,1,194.44,Hobart Hurricanes,Sydney Thunder,524927,BBL01,13,13
210,4,OA Shah,not out,41,32,,5,0,128.12,Hobart Hurricanes,Sydney Thunder,524927,BBL01,13,13
211,5,TIF Triffitt,c Gayle b Coyte,18,17,,0,1,105.88,Hobart Hurricanes,Sydney Thunder,524927,BBL01,13,13
212,6,RJG Lockyear,c †Dunk b Butterworth,3,6,,0,0,50,Hobart Hurricanes,Sydney Thunder,524927,BBL01,13,13
213,7,MJ Johnston,not out,6,3,,0,1,200,Hobart Hurricanes,Sydney Thunder,524927,BBL01,13,13
214,1,DJ Bravo, b Nannes,7,10,7,1,0,70,Sydney Sixers,Melbourne Renegades,524928,BBL01,14,14
